Categories in Hindi,Sub-Categories in Hindi
कोरोना संदिग्ध के बारे में रिपोर्ट करना है ,NA
लाक्डाउन तोड़ने वालों को रिपोर्ट करना है ,NA
चिकित्सा संबंधी ,दवाई चाहिए 
चिकित्सा संबंधी ,मेडिकल सलाह चाहिए 
चिकित्सा संबंधी ,बुज़ुर्ग या नवजात को मदद चाहिए 
चिकित्सा संबंधी ,मनोवेज्ञानिक की सहायता चाहिए 
चिकित्सा संबंधी ,कोई अन्य सहायता चाहिए 
किराना सामग्री संबंधी ,कोई अन्य सामग्री चाहिए 
किराना सामग्री संबंधी ,घरेलू सामग्री चाहिए 
किराना सामग्री संबंधी ,रसोई का सामान चाहिए 
किराना सामग्री संबंधी ,नज़दीकी कार्यरत दुकान की जानकारी 
खान-पान संबंधी ,दूध चाहिए 
खान-पान संबंधी ,किसी जरूरतमंद के लिए खाना 
खान-पान संबंधी ,कोई अन्य खाने के सामग्री चाहिए 
खान-पान संबंधी ,फल-सब्ज़ी चाहिए 
घरेलू समस्या ,गैस की टंकी नहीं आ रही 
घरेलू समस्या ,घरेलू उपकरण ठीक करवाना है 
घरेलू समस्या ,पानी संबंधी 
घरेलू समस्या ,बिजली संबंधी  
स्वच्छता संबंधी ,कचरा उठाने की व्यवस्था चाहिए 
स्वच्छता संबंधी ,पानी जमा हो रहा है 
स्वच्छता संबंधी ,सेनिटाईसेशन करवाना है 
स्वच्छता संबंधी ,कोई अन्य समस्या 
कोई अन्य जानकारी चाहिए ,NA
कोई सुझाव देना है ,NA
